ge-Adjusted  Rates
#By Data Type
#Lung and Bronchus  All Ages  All Races  Both Sexes
#1975-2015 
'Data Type','Year','Rate','Modeled Rate'
'Delay-Adjusted SEER Incidence','1993',67.7505,68.2627
'Delay-Adjusted SEER Incidence','1994',67.1729,67.7921
'Delay-Adjusted SEER Incidence','1995',66.8466,67.3248
'Delay-Adjusted SEER Incidence','1996',66.4616,66.8607
'Delay-Adjusted SEER Incidence','1997',66.6218,66.3998
'Delay-Adjusted SEER Incidence','1998',67.5502,65.9421
'Delay-Adjusted SEER Incidence','1999',65.8354,65.4875
'Delay-Adjusted SEER Incidence','2000',64.1420,65.0361
'Delay-Adjusted SEER Incidence','2001',64.1461,64.5877
'Delay-Adjusted SEER Incidence','2002',64.0559,64.1425
'Delay-Adjusted SEER Incidence','2003',64.7510,63.7003
'Delay-Adjusted SEER Incidence','2004',62.2362,63.2612
'Delay-Adjusted SEER Incidence','2005',63.0254,62.8251
'Delay-Adjusted SEER Incidence','2006',62.2907,62.3920
'Delay-Adjusted SEER Incidence','2007',62.1140,61.9619
'Delay-Adjusted SEER Incidence','2008',60.4400,60.6297
'Delay-Adjusted SEER Incidence','2009',60.0791,59.3261
'Delay-Adjusted SEER Incidence','2010',57.8300,58.0505
'Delay-Adjusted SEER Incidence','2011',56.3924,56.8024
'Delay-Adjusted SEER Incidence','2012',55.4446,55.5811
'Delay-Adjusted SEER Incidence','2013',54.3497,54.3860
'Delay-Adjusted SEER Incidence','2014',53.5031,53.2167
'Delay-Adjusted SEER Incidence','2015',52.0459,52.0725
#'Cancer sites include invasive cases only unless otherwise noted.'
#'Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (19 age groups - Census P25-1130). Regression lines are calculated using the Joinpoint Regression Program Version 4.6, February 2018, National Cancer Institute.'
#'Mortality source: US Mortality Files, National Center for Health Statistics, CDC.'
#'Incidence source: SEER 9 areas (San Francisco, Connecticut, Detroit, Hawaii, Iowa, New Mexico, Seattle, Utah, and Atlanta).'
#'Delay-Adjusted Incidence source: SEER 9 areas (San Francisco, Connecticut, Detroit, Hawaii, Iowa, New Mexico, Seattle, Utah, and Atlanta).'
